,Model Name,Condition,Price,Shoe Size,Brand,Type,Style,Product Line,Color,Department,Seller Name,Feedback Score,Percentage Positive Feedback
189,190.ADIDAS YEEZY DESERT BOOT OIL,New with box,US $209.99,,Nike,Athletic,,Nike React,,Men,lightsoutpitt,888.0,99.0
190,191.ADIDAS YEEZY BOOST 700 CARBON BLUE,New with box,US $350.00,,Nike x Undefeated,Athletic,Basketball Shoes,Nike Kobe Bryant,FIR/MULTI-COLOR,Men,dp4954,91.0,100.0
191,192.ADIDAS ULTRA BOOST 4.0 CORE BLACK,Pre-owned,US $249.99,,nike,Athletic,,LeBron James,black,Men,kicksncuts305,262.0,100.0
192,193.ADIDAS ULTRA BOOST DNA BLACK GOLD,New with box,US $159.99,,Nike,Athletic,,Nike React,Black,Men,matpru_9766,4.0,100.0
193,194.ADIDAS ULTRA BOOST NICE KICKS WOODSTOCK 50TH ANNIVERSARY,Pre-owned,US $949.00,,Nike,,Off-white,Off-White,Ivory,,igotthesneakers,73.0,100.0
194,195.ADIDAS ZX4000 4D BLACK ONIX,New with box,"US $1,211.74",,Nike,Athletic,Basketball,,Purple/University Gold-White,Men,bakk-enterprise,879.0,98.9
195,196.ADIDAS YEEZY BOOST 350 V2 CLOUD WHITE (REFLECTIVE),New with box,US $420.00,,Nike,Athletic,Athletic Sneakers,,tan,Men,zadehkicks,17708.0,97.7
196,197.ADIDAS YEEZY BOOST 350 V2 YESHAYA (REFLECTIVE),New with box,US $299.00,,Nike,,Basketball Shoes,Nike LeBron James,Kumquat/Black,,soles888,2867.0,99.1
197,198.ADIDAS HUMAN RACE NMD PHARRELL HOLI FESTIVAL (PINK GLOW),New with box,US $349.99,,Nike,Athletic,Athletic Sneakers,"Nike Air, Nike Air Force 1, Nike Internationalist, Nike Lifestyle, Nike Retro Lifestyle",White/White,Men,legitretrokicks,243.0,93.8
198,199.ADIDAS YEEZY POWERPHASE CLEAR BROWN,Pre-owned,US $165.00,,Nike,,,,Beige,,bay37_llc,138.0,98.6
199,200.ADIDAS ULTRA BOOST 4.0 GAME OF THRONES NIGHTS WATCH,New with box,US $999.00,,Nike,Athletic,,SB,Purple,Men,lxhabits,8071.0,98.5
200,201.ADIDAS YEEZY BOOST 350 V2 CORE BLACK WHITE,New with box,US $425.00,,Nike,,Athletic Sneakers,,blue,,zadehkicks,17708.0,97.7
201,202.ADIDAS ULTRA BOOST 19 STAR WARS MILLENNIUM FALCON,New with box,US $699.99,,Nike,Athletic,Athletic Sneakers,"NikeLab, Nike Internationalist, Nike Lifestyle, Nike React, Nike Retro Lifestyle, Nike Running / Training Sport",Sail/Light Bone-White-Rush Orange,Men,legitretrokicks,243.0,93.8
202,203.ADIDAS ULTRA BOOST S&L STAR WARS X-WING,New with defects,US $935.00,,Nike,Athletic,Sneaker,Nike Air,Gray,Men,soledout.jerseycity,1860.0,98.7
203,204.ADIDAS ULTRA BOOST 1.0 SOLAR ORANGE (2019),Pre-owned,US $699.99,,Nike,Athletic,Running Shoes,,White,,thecoolshoeshine,51004.0,99.8
204,205.ADIDAS ULTRA BOOST 4.0 WHITE MULTI-COLOR,Pre-owned,US $230.00,,Nike,,Basketball Shoes,,Multicolor,,lxhabits,8071.0,98.5
205,206.ADIDAS ULTRA BOOST SOLAR YELLOW (2019),New with box,US $289.00,,Nike,,"Running, Cross Training",Air Max,Green,,eluxive,1845.0,100.0
206,207.ADIDAS ULTRA BOOST CLIMA BLACK,Pre-owned,US $449.00,,Nike,,Basketball Shoes,Nike Supreme X,Black,,lxhabits,8071.0,98.5
